Test Name,pc: Line Count,Set_ip Size,Set_vpaddr Size
401.bzip2-277B.champsimtrace.xz,1646041,162,25,64
403.gcc-17B.champsimtrace.xz,1290034,131,5647,64
410.bwaves-1963B.champsimtrace.xz,3859135,169,2741,64
410.bwaves-2097B.champsimtrace.xz,3824729,176,2741,64
429.mcf-184B.champsimtrace.xz,2086139,116,9045,64
429.mcf-192B.champsimtrace.xz,2075750,108,9644,64
429.mcf-217B.champsimtrace.xz,1878455,35,2152,64
429.mcf-22B.champsimtrace.xz,1216914,35,20046,64
429.mcf-51B.champsimtrace.xz,2084890,134,24459,64
433.milc-127B.champsimtrace.xz,1474007,108,9612,64
433.milc-274B.champsimtrace.xz,763483,38,11117,64
433.milc-337B.champsimtrace.xz,596390,16,11968,64
434.zeusmp-10B.champsimtrace.xz,1433732,181,1315,64
436.cactusADM-1804B.champsimtrace.xz,3110301,725,474,64
437.leslie3d-134B.champsimtrace.xz,2314338,252,867,64
437.leslie3d-149B.champsimtrace.xz,2307352,250,922,64
437.leslie3d-232B.champsimtrace.xz,2238084,273,1090,64
437.leslie3d-265B.champsimtrace.xz,2420090,230,802,64
437.leslie3d-271B.champsimtrace.xz,1996269,25,399,64
437.leslie3d-273B.champsimtrace.xz,2507863,44,453,64
450.soplex-247B.champsimtrace.xz,1608381,670,6273,64
450.soplex-92B.champsimtrace.xz,1525979,618,5787,64
459.GemsFDTD-1169B.champsimtrace.xz,4052202,360,26477,64
459.GemsFDTD-1211B.champsimtrace.xz,4583091,221,11035,64
459.GemsFDTD-1320B.champsimtrace.xz,4284167,449,1479,64
459.GemsFDTD-1418B.champsimtrace.xz,4667298,204,1118,64
459.GemsFDTD-1491B.champsimtrace.xz,2107800,57,3350,64
459.GemsFDTD-765B.champsimtrace.xz,4505005,224,12003,64
462.libquantum-1343B.champsimtrace.xz,803134,21,3866,64
462.libquantum-714B.champsimtrace.xz,853119,15,4143,64
470.lbm-1274B.champsimtrace.xz,551776,86,1116,64
471.omnetpp-188B.champsimtrace.xz,1852039,731,19680,64
473.astar-359B.champsimtrace.xz,2476387,155,27412,64
473.astar-42B.champsimtrace.xz,1925134,71,4123,64
481.wrf-1254B.champsimtrace.xz,1767098,112,573,64
481.wrf-1281B.champsimtrace.xz,1381978,83,1316,64
481.wrf-196B.champsimtrace.xz,1816162,332,702,64
481.wrf-455B.champsimtrace.xz,3364131,221,894,64
481.wrf-816B.champsimtrace.xz,1879868,253,1066,64
482.sphinx3-1100B.champsimtrace.xz,1359443,571,2317,64
482.sphinx3-1297B.champsimtrace.xz,1220852,573,2485,64
482.sphinx3-1395B.champsimtrace.xz,1225603,566,2103,64
482.sphinx3-1522B.champsimtrace.xz,1238936,444,1846,64
482.sphinx3-234B.champsimtrace.xz,1496764,751,2964,64
482.sphinx3-417B.champsimtrace.xz,1235766,532,2765,64
483.xalancbmk-127B.champsimtrace.xz,1408530,969,14425,64
602.gcc_s-1850B.champsimtrace.xz,1937105,45,3080,64
602.gcc_s-2226B.champsimtrace.xz,1677494,45,12824,64
602.gcc_s-734B.champsimtrace.xz,2117634,73,1767,64
603.bwaves_s-1740B.champsimtrace.xz,2921240,100,2901,64
603.bwaves_s-2609B.champsimtrace.xz,2924743,85,2909,64
603.bwaves_s-2931B.champsimtrace.xz,1510847,142,1231,64
603.bwaves_s-891B.champsimtrace.xz,947989,33,4243,64
605.mcf_s-1152B.champsimtrace.xz,2556984,226,3563,64
605.mcf_s-1536B.champsimtrace.xz,1279579,14,6735,64
605.mcf_s-1554B.champsimtrace.xz,3283094,69,1335,64
605.mcf_s-1644B.champsimtrace.xz,3106933,11,4159,64
605.mcf_s-472B.champsimtrace.xz,2534184,88,3464,64
605.mcf_s-484B.champsimtrace.xz,1884777,87,3065,64
605.mcf_s-665B.champsimtrace.xz,2590308,227,2767,64
605.mcf_s-782B.champsimtrace.xz,2131152,223,10069,64
605.mcf_s-994B.champsimtrace.xz,2801537,110,25051,64
607.cactuBSSN_s-2421B.champsimtrace.xz,3145153,922,492,64
607.cactuBSSN_s-3477B.champsimtrace.xz,3140792,922,491,64
607.cactuBSSN_s-4004B.champsimtrace.xz,3153270,922,503,64
619.lbm_s-2676B.champsimtrace.xz,811061,124,1678,64
619.lbm_s-2677B.champsimtrace.xz,840108,124,1854,64
619.lbm_s-3766B.champsimtrace.xz,841496,124,838,64
619.lbm_s-4268B.champsimtrace.xz,836114,124,1808,64
620.omnetpp_s-141B.champsimtrace.xz,2532129,737,23018,64
620.omnetpp_s-874B.champsimtrace.xz,2488557,727,19635,64
621.wrf_s-6673B.champsimtrace.xz,1336643,517,1718,64
621.wrf_s-8065B.champsimtrace.xz,1887186,873,984,64
623.xalancbmk_s-10B.champsimtrace.xz,1580675,984,10436,64
623.xalancbmk_s-165B.champsimtrace.xz,1292266,137,628,64
623.xalancbmk_s-202B.champsimtrace.xz,1412523,50,1166,64
625.x264_s-20B.champsimtrace.xz,1085296,891,396,64
627.cam4_s-490B.champsimtrace.xz,1084896,716,854,64
628.pop2_s-17B.champsimtrace.xz,1590689,998,910,64
649.fotonik3d_s-10881B.champsimtrace.xz,4228080,129,26576,64
649.fotonik3d_s-1176B.champsimtrace.xz,1288031,107,1423,64
649.fotonik3d_s-7084B.champsimtrace.xz,2025185,152,2734,64
649.fotonik3d_s-8225B.champsimtrace.xz,1288743,108,1417,64
654.roms_s-1007B.champsimtrace.xz,1970131,46,240,64
654.roms_s-1070B.champsimtrace.xz,1877956,71,4417,64
654.roms_s-1390B.champsimtrace.xz,1031759,123,7256,64
654.roms_s-1613B.champsimtrace.xz,1413901,46,162,64
654.roms_s-293B.champsimtrace.xz,1897399,242,796,64
654.roms_s-294B.champsimtrace.xz,2361962,79,3376,64
654.roms_s-523B.champsimtrace.xz,2219028,114,7182,64
657.xz_s-2302B.champsimtrace.xz,1662165,669,4190,64
